##Temp./�C;Time/min;Mass/%
 32.40400;0.0000e+000;100.00000
 34.90400;    1.02148; 99.95576
 37.40400;    1.47499; 99.94883
 39.90400;    1.82060; 99.93511
 42.40400;    2.11867; 99.91851
 44.90400;    2.38781; 99.90270
 47.40400;    2.64007; 99.88692
 49.90400;    2.88156; 99.86940
 52.40400;    3.11306; 99.84290
 54.90400;    3.34006; 99.81233
 57.40400;    3.56310; 99.77606
 59.90400;    3.78323; 99.73556
 62.40400;    4.00179; 99.69041
 64.90400;    4.21963; 99.63854
 67.40400;    4.43822; 99.58703
 69.90400;    4.65682; 99.53585
 72.40400;    4.87652; 99.48048
 74.90400;    5.09569; 99.42277
 77.40400;    5.31560; 99.34637
 79.90400;    5.53708; 99.26474
 82.40400;    5.75984; 99.18627
 84.90400;    5.98456; 99.10564
 87.40400;    6.21102; 99.04141
 89.90400;    6.43788; 98.98122
 92.40400;    6.66640; 98.92173
 94.90400;    6.89679; 98.85956
 97.40400;    7.12794; 98.79064
 99.90400;    7.36188; 98.72974
102.40400;    7.59715; 98.67765
104.90400;    7.83367; 98.61606
107.40400;    8.07235; 98.55671
109.90400;    8.31175; 98.50719
112.40400;    8.55219; 98.45028
114.90400;    8.79301; 98.41084
117.40400;    9.03509; 98.33255
119.90400;    9.27850; 98.20777
122.40400;    9.52307; 98.05036
124.90400;    9.76682; 97.84756
127.40400;   10.01032; 97.59852
129.90400;   10.25455; 97.29694
132.40400;   10.49895; 96.91245
134.90400;   10.74359; 96.43578
137.40400;   10.98787; 95.86479
139.90400;   11.23280; 95.19493
142.40400;   11.47890; 94.43377
144.90400;   11.72474; 93.58631
147.40400;   11.97011; 92.65423
149.90400;   12.21607; 91.65327
152.40400;   12.46084; 90.61288
154.90400;   12.70555; 89.56380
157.40400;   12.95178; 88.53904
159.90400;   13.19811; 87.56623
162.40400;   13.44413; 86.66774
164.90400;   13.68981; 85.87016
167.40400;   13.93561; 85.17379
169.90400;   14.18194; 84.57431
172.40400;   14.42845; 84.06438
174.90400;   14.67447; 83.63733
177.40400;   14.92136; 83.28794
179.90400;   15.16842; 82.99449
182.40400;   15.41651; 82.73566
184.90400;   15.66569; 82.50145
187.40400;   15.91440; 82.28321
189.90400;   16.16335; 82.07258
192.40400;   16.41335; 81.87372
194.90400;   16.66321; 81.68424
197.40400;   16.91239; 81.47923
199.90400;   17.16291; 81.27434
202.40400;   17.41285; 81.04310
204.90400;   17.66223; 80.83789
207.40400;   17.91166; 80.62587
209.90400;   18.16233; 80.41112
212.40400;   18.41204; 80.18568
214.90400;   18.66167; 79.93250
217.40400;   18.91223; 79.64522
219.90400;   19.16199; 79.29403
222.40400;   19.41222; 78.83765
224.90400;   19.66308; 78.25117
227.40400;   19.91245; 77.56086
229.90400;   20.16226; 76.70040
232.40400;   20.41246; 75.79746
234.90400;   20.66236; 74.82454
237.40400;   20.91210; 73.81648
239.90400;   21.16095; 72.74920
242.40400;   21.40978; 71.58058
244.90400;   21.65806; 70.25792
247.40400;   21.90662; 68.72276
249.90400;   22.15572; 66.88212
252.40400;   22.40430; 64.79191
254.90400;   22.65410; 62.33244
257.40400;   22.90607; 59.40687
259.90400;   23.16278; 56.04489
262.40400;   23.42060; 52.51537
264.90400;   23.67430; 49.25482
267.40400;   23.92410; 46.42865
269.90400;   24.17169; 43.99844
272.40400;   24.41799; 41.93112
274.90400;   24.66350; 40.16034
277.40400;   24.90913; 38.57590
279.90400;   25.15515; 37.15838
282.40400;   25.40155; 35.86877
284.90400;   25.64817; 34.70875
287.40400;   25.89599; 33.64772
289.90400;   26.14446; 32.68058
292.40400;   26.39265; 31.81031
294.90400;   26.64147; 31.02759
297.40400;   26.89130; 30.32129
299.90400;   27.14176; 29.69702
302.40400;   27.39162; 29.14600
304.90400;   27.64157; 28.68261
307.40400;   27.89138; 28.30474
309.90400;   28.14155; 27.99625
312.40400;   28.39182; 27.75379
314.90400;   28.64167; 27.53577
317.40400;   28.89156; 27.34386
319.90400;   29.14169; 27.15229
322.40400;   29.39127; 26.97483
324.90400;   29.64145; 26.80690
327.40400;   29.89148; 26.64433
329.90400;   30.14111; 26.49207
332.40400;   30.39123; 26.33950
334.90400;   30.64148; 26.19978
337.40400;   30.89174; 26.06901
339.90400;   31.14132; 25.94329
342.40400;   31.39088; 25.82552
344.90400;   31.64083; 25.69788
347.40400;   31.89103; 25.58148
349.90400;   32.14076; 25.46310
352.40400;   32.39095; 25.34300
354.90400;   32.64070; 25.23009
357.40400;   32.89076; 25.13056
359.90400;   33.14071; 25.02446
362.40400;   33.39063; 24.92403
364.90400;   33.64032; 24.80162
367.40400;   33.88998; 24.68129
369.90400;   34.14008; 24.56728
372.40400;   34.39070; 24.46521
374.90400;   34.64066; 24.36536
377.40400;   34.89021; 24.27511
379.90400;   35.13988; 24.18074
382.40400;   35.38963; 24.08500
384.90400;   35.63945; 23.98746
387.40400;   35.88918; 23.88137
389.90400;   36.13876; 23.79008
392.40400;   36.38849; 23.69793
394.90400;   36.63871; 23.61989
397.40400;   36.88818; 23.54819
399.90400;   37.13778; 23.46309
402.40400;   37.38720; 23.38204
404.90400;   37.63719; 23.29385
407.40400;   37.88702; 23.21505
409.90400;   38.13670; 23.14976
412.40400;   38.38618; 23.08440
414.90400;   38.63593; 23.01952
417.40400;   38.88499; 22.95136
419.90400;   39.13509; 22.88498
422.40400;   39.38501; 22.81567
424.90400;   39.63512; 22.74137
427.40400;   39.88507; 22.65753
429.90400;   40.13533; 22.60259
432.40400;   40.38531; 22.54784
434.90400;   40.63514; 22.50216
437.40400;   40.88516; 22.44531
439.90400;   41.13411; 22.36673
442.40400;   41.38419; 22.29172
444.90400;   41.63365; 22.21462
447.40400;   41.88386; 22.13644
449.90400;   42.13436; 22.06421
452.40400;   42.38513; 21.98978
